gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
65,True,False,12,9,"['1', '2', '2', '1', '1']","[[34, 'src'], [33, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [54, 'vnf1'], [53, None], [52, None], [51, None], [62, None], [61, 'dst']]","[[34, 'src'], [33, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [54, 'vnf1'], [53, None], [52, None], [51, None], [62, None], [61, 'dst']]",0,106.70227940740706,5,10,8,129.70227940740705
66,True,False,4,5,"['2', '2', '2', '2', '2']","[[62, 'src'], [7, None], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, None], [6, None], [17, 'dst']]","[[62, 'src'], [7, None], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, None], [6, None], [17, 'dst']]",0,161.57560394915677,5,25,13,204.57560394915677
67,True,False,3,4,"['1', '2', '1', '2', '2']","[[54, ('src', 'vnf1')], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, None], [52, None], [63, 'dst']]","[[54, ('src', 'vnf1')], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [42, None], [41, None], [40, None], [51, None], [52, None], [63, 'dst']]",0,90.65666756953863,5,25,9,129.65666756953863
68,True,False,3,14,"['1', '2', '1', '1', '1']","[[54, ('src', 'vnf1')], [43, 'vnf2'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [53, None], [52, None], [51, None], [62, None], [61, None], [60, None], [59, None], [58, 'dst']]","[[54, ('src', 'vnf1')], [43, 'vnf2'], [54, 'vnf1'], [54, 'vnf1'], [54, 'vnf1'], [53, None], [52, None], [51, None], [62, None], [61, None], [60, None], [59, None], [58, 'dst']]",0,129.65521460065136,5,16,10,160.65521460065136
69,True,False,6,4,"['2', '2', '2', '2', '1']","[[27, 'src'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [65, 'dst']]","[[27, 'src'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [65, 'dst']]",0,161.12132885698455,5,29,14,209.12132885698455
70,True,False,12,3,"['2', '2', '1', '2', '1']","[[34, ('src', 'vnf2')], [34, 'vnf2'], [33, 'vnf1'], [43, 'vnf2'], [54, ('dst', 'vnf1')]]","[[34, ('src', 'vnf2')], [34, 'vnf2'], [33, 'vnf1'], [43, 'vnf2'], [54, ('dst', 'vnf1')]]",0,55.0638115148445,4,3,3,65.0638115148445
71,True,False,8,4,"['2', '2', '1', '2', '1']","[[49, ('src', 'vnf2')], [49, 'vnf2'], [50, None], [51, None], [52, None], [53, None], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [53, None], [52, None], [63, 'dst']]","[[49, ('src', 'vnf2')], [49, 'vnf2'], [50, None], [51, None], [52, None], [53, None], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [53, None], [52, None], [63, 'dst']]",0,111.66892194814206,5,18,10,144.66892194814204
72,True,False,6,7,"['2', '1', '1', '1', '1']","[[22, 'src'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [6, None], [17, None], [28, None], [29, None], [30, None], [31, None], [32, None], [22, None], [33, 'dst']]","[[22, 'src'], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [7, 'vnf1'], [6, None], [17, None], [28, None], [29, None], [30, None], [31, None], [32, None], [22, None], [33, 'dst']]",0,223.2031979622967,5,26,15,269.2031979622967
73,True,False,14,5,"['1', '2', '2', '2', '2']","[[57, ('src', 'vnf1')], [2, None], [3, 'vnf2'], [3, 'vnf2'], [3, 'vnf2'], [3, 'vnf2'], [4, None], [5, 'dst']]","[[57, ('src', 'vnf1')], [2, None], [3, 'vnf2'], [3, 'vnf2'], [3, 'vnf2'], [3, 'vnf2'], [4, None], [5, 'dst']]",0,32.45142730835383,5,0,4,41.45142730835383
74,True,False,8,14,"['2', '1', '1', '2', '2']","[[49, ('src', 'vnf2')], [50, None], [51, None], [52, None], [53, None], [54, 'vnf1'], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [33, None], [34, None], [35, None], [36, None], [37, None], [36, None], [35, None], [34, None], [45, None], [46, None], [57, 'dst']]","[[49, ('src', 'vnf2')], [50, None], [51, None], [52, None], [53, None], [54, 'vnf1'], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [33, None], [34, None], [35, None], [36, None], [37, None], [36, None], [35, None], [34, None], [45, None], [46, None], [57, 'dst']]",0,201.6798203229475,5,12,17,235.6798203229475
75,True,False,11,13,"['2', '1', '1', '2', '2']","[[23, ('src', 'vnf2')], [24, None], [25, None], [26, None], [27, 'vnf1'], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [32, 'vnf2'], [22, None], [23, None], [24, None], [25, None], [36, None], [47, 'dst']]","[[23, ('src', 'vnf2')], [24, None], [25, None], [26, None], [27, 'vnf1'], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [32, 'vnf2'], [22, None], [23, None], [24, None], [25, None], [36, None], [47, 'dst']]",0,162.5546521018997,5,5,15,187.5546521018997
76,True,False,6,14,"['1', '1', '1', '2', '2']","[[27, ('src', 'vnf1')], [27, 'vnf1'], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [32, 'vnf2'], [21, None], [20, None], [21, None], [11, None], [12, None], [13, None], [2, None], [57, 'dst']]","[[27, ('src', 'vnf1')], [27, 'vnf1'], [27, 'vnf1'], [28, None], [29, None], [30, None], [31, None], [32, 'vnf2'], [32, 'vnf2'], [21, None], [20, None], [21, None], [11, None], [12, None], [13, None], [2, None], [57, 'dst']]",0,165.85087436589134,5,2,13,185.85087436589134
77,True,False,4,8,"['1', '2', '2', '2', '2']","[[62, ('src', 'vnf1')], [7, None], [8, None], [19, None], [20, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None], [22, None], [33, None], [43, None], [42, None], [41, None], [40, None], [39, None], [50, 'dst']]","[[62, ('src', 'vnf1')], [7, None], [8, None], [19, None], [20, None], [21, None], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [32, 'vnf2'], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None], [22, None], [33, None], [43, None], [42, None], [41, None], [40, None], [39, None], [50, 'dst']]",0,263.2677920999803,5,20,22,310.2677920999803
78,True,False,2,9,"['2', '2', '2', '1', '1']","[[43, ('src', 'vnf2')], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [54, 'vnf1'], [53, None], [52, None], [51, None], [62, None], [61, None], [60, 'dst']]","[[43, ('src', 'vnf2')], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [54, 'vnf1'], [53, None], [52, None], [51, None], [62, None], [61, None], [60, 'dst']]",0,87.82460364331115,5,13,7,112.82460364331115
