t,gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
34,56,True,False,12,14,"['1', '1', '2', '1', '2']","[[34, 'src'], [35, None], [46, None], [57, 'vnf1'], [58, None], [59, None], [60, 'vnf1'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]","[[34, 'src'], [35, None], [46, None], [57, 'vnf1'], [58, None], [59, None], [60, 'vnf1'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, 'vnf2'], [47, None], [46, None], [45, None], [56, 'dst']]",0,172.59067274646424,5,3,14,194.59067274646424
34,57,True,False,6,4,"['1', '1', '1', '1', '2']","[[27, ('src', 'vnf1')], [27, 'vnf1'], [27, 'vnf1'], [27, 'vnf1'], [26, None], [25, None], [24, None], [23, 'vnf2'], [12, None], [1, None], [0, None], [10, None], [9, None], [8, None], [7, None], [62, 'dst']]","[[27, ('src', 'vnf1')], [27, 'vnf1'], [27, 'vnf1'], [27, 'vnf1'], [26, None], [25, None], [24, None], [23, 'vnf2'], [12, None], [1, None], [0, None], [10, None], [9, None], [8, None], [7, None], [62, 'dst']]",0,147.8150487719375,5,2,12,166.8150487719375
34,58,True,False,5,4,"['2', '1', '2', '2', '1']","[[0, ('src', 'vnf2')], [10, None], [65, None], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [53, None], [52, None], [51, None], [62, 'dst']]","[[0, ('src', 'vnf2')], [10, None], [65, None], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [53, None], [52, None], [51, None], [62, 'dst']]",0,116.96440070666283,5,4,9,134.96440070666284
34,59,True,False,5,6,"['1', '2', '1', '2', '2']","[[0, 'src'], [10, None], [65, None], [54, 'vnf1'], [43, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [23, None], [22, 'dst']]","[[0, 'src'], [10, None], [65, None], [54, 'vnf1'], [43, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [23, None], [22, 'dst']]",0,141.6403526851472,5,1,8,155.6403526851472
34,60,True,False,9,6,"['1', '1', '2', '1', '1']","[[60, ('src', 'vnf1')], [5, None], [6, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [22, None], [33, 'vnf1'], [33, 'vnf1'], [22, 'dst']]","[[60, ('src', 'vnf1')], [5, None], [6, None], [7, 'vnf1'], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [22, None], [33, 'vnf1'], [33, 'vnf1'], [22, 'dst']]",0,183.5674874033267,5,3,11,202.5674874033267
34,61,False,False,6,4,"['2', '2', '2', '1', '2']","[[22, 'src'], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [22, None], [33, 'vnf1'], [22, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, None], [62, 'dst']]","[[22, 'src'], [23, 'vnf2'], [23, 'vnf2'], [23, 'vnf2'], [22, None], [33, 'vnf1'], [22, None], [32, 'vnf2'], [21, None], [10, None]]",0,138.18023658137102,5,6,7,156.18023658137102
34,62,True,False,13,14,"['1', '2', '1', '1', '2']","[[45, 'src'], [34, None], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [33, 'vnf1'], [34, 'vnf2'], [45, None], [56, 'dst']]","[[45, 'src'], [34, None], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [33, 'vnf1'], [34, 'vnf2'], [45, None], [56, 'dst']]",0,125.88398785741812,5,2,7,139.8839878574181
34,63,True,False,13,4,"['2', '2', '2', '2', '1']","[[48, ('src', 'vnf2')], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [49, None], [50, None], [51, None], [62, ('dst', 'vnf1')]]","[[48, ('src', 'vnf2')], [48, 'vnf2'], [48, 'vnf2'], [48, 'vnf2'], [49, None], [50, None], [51, None], [62, ('dst', 'vnf1')]]",0,64.0650841191545,4,2,4,74.0650841191545
34,64,True,False,9,2,"['1', '1', '1', '2', '1']","[[55, 'src'], [44, None], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [22, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, None], [62, 'vnf1'], [51, None], [40, 'dst']]","[[55, 'src'], [44, None], [33, 'vnf1'], [33, 'vnf1'], [33, 'vnf1'], [22, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, None], [62, 'vnf1'], [51, None], [40, 'dst']]",0,174.8688034248391,5,0,12,191.8688034248391
34,65,True,False,4,12,"['1', '1', '2', '1', '2']","[[62, ('src', 'vnf1')], [62, 'vnf1'], [7, None], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [22, None], [33, 'vnf1'], [34, ('dst', 'vnf2')]]","[[62, ('src', 'vnf1')], [62, 'vnf1'], [7, None], [8, None], [9, None], [10, None], [21, None], [32, 'vnf2'], [22, None], [33, 'vnf1'], [34, ('dst', 'vnf2')]]",0,128.9585628423822,4,6,9,147.9585628423822
